Timestamp,U L1-N,U L2-N,U L3-N,I-Wdl.-N 1 - I_3I0,I-Wdl. 1 - 3xI_I L1,I-Wdl. 1 - 3xI_I L2,I-Wdl. 1 - 3xI_I L3
0.0,-3977.918925655448,-3490.611238322962,16530.03427996937,-6.069562846016402,-68.72734087908913,-4.7131053257776285,4.406028027511061
0.00010000623014142422,-3826.436864510915,-3806.5009463654383,16592.981956395168,-6.069562846016402,-68.71246840512923,-4.71971106370072,4.408780283566452
0.00020001246028284844,-3671.167751837768,-4118.399268205213,16643.017288938747,-6.069562846016402,-68.69688205241926,-4.726302347055052,4.4113545646344265
0.00030001869042427264,-3512.300940212438,-4425.736005813326,16680.94729909275,-6.069562846016402,-68.68058182095919,-4.732864721271864,4.413750870714987
0.0004000249205656969,-3349.8364296349264,-4728.511159189779,16705.96496536454,-6.069562846016402,-68.66368669054074,-4.739405413635537,4.415969201808131
0.0005000311507071211,-3184.1529252580926,-5026.724728334572,16718.877309246753,-6.069562846016402,-68.64607768137222,-4.745902742292932,4.418003201664308
0.0006000373808485453,-3015.250427081938,-5319.23631718979,16718.070287754115,-6.069562846016402,-68.6278737732453,-4.752363934528429,4.41985287028352
0.0007000436109899696,-2843.507640259323,-5606.61612378439,16705.96496536454,-6.069562846016402,-68.60907496615998,-4.7587745357732665,4.421511851416215
0.0008000498411313938,-2668.9245647902485,-5888.2939500894145,16680.140277600112,-6.069562846016402,-68.58968126011627,-4.765127318743066,4.422986501311944
0.0009000560712728179,-2491.6905532511446,-6164.269796104863,16642.210267446106,-6.069562846016402,-68.56969265511415,-4.771422283437828,4.424270463721156
0.0010000623014142422,-2311.9949582184418,-6433.403265772821,16591.36791340989,-6.069562846016402,-68.54910915115366,-4.777644975288792,4.425357382394301
0.0011000685315556665,-2129.83777969214,-6696.264557122247,16528.420236984093,-6.069562846016402,-68.52804972802643,-4.783795394295959,4.42625996983048
0.0012000747616970906,-1945.787075401532,-6952.2834721241825,16452.560216676087,-6.069562846016402,-68.50651438573249,-4.789866313174949,4.426965513530591
0.0013000809918385149,-1759.8428453466172,-7200.889812749669,16365.401895471141,-6.069562846016402,-68.48438414448016,-4.795850504641382,4.427474013494636
0.0014000872219799392,-1572.0050895273957,-7442.653777027666,16264.524208891344,-6.069562846016402,-68.46189696385278,-4.801747968695257,4.427791825972164
0.0015000934521213632,-1382.6525130967289,-7676.434968900257,16152.348221414608,-6.069562846016402,-68.43881488426702,-4.807544250767816,4.427912594713624
0.0016000996822627875,-1191.9744686310473,-7902.8035863964005,16028.066911548296,-6.069562846016402,-68.4153758653062,-4.8132393508590585,4.427842675968568
0.0017001059124042118,-1000.160308706782,-8121.189431487139,15891.680279292408,-6.069562846016402,-68.39157990697036,-4.818818814400226,4.4275693572378945
0.0018001121425456359,-807.3993859003632,-8331.022306143514,15743.188324646946,-6.069562846016402,-68.36742700925949,-4.824289868675696,4.427111707270254
0.0019001183726870602,-613.691700211791,-8532.872408394482,15583.398069104545,-6.069562846016402,-68.34291717217356,-4.829638059116711,4.426450657316996
0.0020001246028284844,-419.41595679392697,-8725.59934218213,15411.50249117257,-6.069562846016402,-68.31793141592092,-4.83486338572327,4.425598919877222
0.0021001308329699087,-224.7615082232015,-8909.773305535415,15229.115633836296,-6.069562846016402,-68.29282667987661,-4.839958621210993,4.424556494950931
0.002200137063111333,-29.917707076045357,-9084.82410042538,15034.623454110444,-6.069562846016402,-68.26736500445726,-4.844923765579881,4.423323382538123
0.002300143293252757,164.92609407111075,-9250.751726852022,14829.639994980294,-6.069562846016402,-68.24166536945454,-4.849737136976794,4.421899582638798
0.002400149523394181,359.58054264183625,-9406.985986786389,14614.165256445845,-6.069562846016402,-68.21560879507679,-4.854413189970492,4.420285095252957
0.0025001557535356054,554.045638636131,-9554.097078257433,14388.199238507097,-6.069562846016402,-68.18955222069904,-4.858937469992215,4.4184799203806
0.0026001619836770297,747.9426769011338,-9691.514803236201,14150.934919671412,-6.069562846016402,-68.16313870694626,-4.863309977041964,4.4164904142712755
0.002700168213818454,941.0823048604141,-9819.23916172269,13904.793364416706,-6.069562846016402,-68.13672519319347,-4.867523483835358,4.414322933174536
0.0028001744439598783,1133.08581736111,-9937.2701537169,13648.160529757699,-6.069562846016402,-68.11007371985733,-4.871570763088018,4.41196476459128
0.002900180674101302,1324.1425669796529,-10045.037581189876,13381.843437187032,-6.069562846016402,-68.0833032667295,-4.875459042084323,4.409434977270159
0.0030001869042427264,1513.873848563181,-10142.541444141614,13105.842086704704,-6.069562846016402,-68.05653281360168,-4.879173866255514,4.406727214961623
0.0031001931343841507,1702.2796621116945,-10229.781742572117,12820.963499803354,-6.069562846016402,-68.02976236047385,-4.882708008317212,4.4038414776656705
0.003200199364525575,1888.7919498959013,-10307.328674510343,12528.014697975621,-6.069562846016402,-68.00287292755435,-4.886075922838175,4.400784121631853
0.0033002055946669993,2073.410711915801,-10374.041843898374,12226.188659728865,-6.069562846016402,-67.97598349463485,-4.889255927965265,4.3975615031097215
0.0034002118248084236,2256.135948171395,-10429.921250736214,11915.485385063086,-6.069562846016402,-67.94921304150702,-4.892248023698481,4.3941736220992755
0.003500218054949848,2436.5889535098204,-10476.107291081775,11597.518916963563,-6.069562846016402,-67.92244258837918,-4.895059437322203,4.390626834850066
0.0036002242850912717,2614.580375354647,-10510.889370848185,11272.289255430293,-6.069562846016402,-67.89579111504304,-4.897682941552053,4.386921141362091
0.003700230515232696,2790.110213705875,-10535.978084122316,10938.98937897064,-6.069562846016402,-67.8691396417069,-4.900111309103648,4.383056541635353
