1,0,-2.2212e+004,-3.9030e+004,5.8172e+004,2.7456e+003,-7.0384e+004,-3.3923e+004,6.5449e+004
2,100,-2.0874e+004,-4.1903e+004,5.8368e+004,2.7456e+003,-6.9020e+004,-3.5586e+004,6.6751e+004
3,200,-1.9507e+004,-4.4734e+004,5.8507e+004,2.7456e+003,-6.7579e+004,-3.7249e+004,6.7986e+004
4,300,-1.8111e+004,-4.7521e+004,5.8588e+004,2.7456e+003,-6.6062e+004,-3.8911e+004,6.9151e+004
5,400,-1.6688e+004,-5.0262e+004,5.8611e+004,2.7456e+003,-6.4470e+004,-4.0571e+004,7.0247e+004
6,500,-1.5239e+004,-5.2952e+004,5.8577e+004,2.7456e+003,-6.2804e+004,-4.2225e+004,7.1270e+004
7,600,-1.3766e+004,-5.5591e+004,5.8485e+004,2.7456e+003,-6.1068e+004,-4.3874e+004,7.2222e+004
8,700,-1.2269e+004,-5.8175e+004,5.8335e+004,2.7456e+003,-5.9261e+004,-4.5514e+004,7.3100e+004
9,800,-1.0751e+004,-6.0701e+004,5.8128e+004,2.7456e+003,-5.7387e+004,-4.7145e+004,7.3904e+004
10,900,-9.2134e+003,-6.3167e+004,5.7864e+004,2.7456e+003,-5.5447e+004,-4.8765e+004,7.4633e+004
11,1000,-7.6570e+003,-6.5571e+004,5.7543e+004,2.7456e+003,-5.3442e+004,-5.0373e+004,7.5286e+004
12,1100,-6.0836e+003,-6.7910e+004,5.7165e+004,2.7456e+003,-5.1375e+004,-5.1966e+004,7.5863e+004
13,1200,-4.4948e+003,-7.0182e+004,5.6731e+004,2.7456e+003,-4.9248e+004,-5.3544e+004,7.6363e+004
14,1300,-2.8922e+003,-7.2385e+004,5.6241e+004,2.7456e+003,-4.7063e+004,-5.5104e+004,7.6786e+004
15,1400,-1.2773e+003,-7.4517e+004,5.5696e+004,2.7456e+003,-4.4822e+004,-5.6645e+004,7.7131e+004
16,1500,3.4826e+002,-7.6575e+004,5.5096e+004,2.7456e+003,-4.2528e+004,-5.8166e+004,7.7397e+004
17,1600,1.9829e+003,-7.8557e+004,5.4442e+004,2.7456e+003,-4.0181e+004,-5.9665e+004,7.7585e+004
18,1700,3.6249e+003,-8.0462e+004,5.3734e+004,2.7456e+003,-3.7786e+004,-6.1140e+004,7.7695e+004
19,1800,5.2727e+003,-8.2288e+004,5.2973e+004,2.7456e+003,-3.5344e+004,-6.2591e+004,7.7726e+004
20,1900,6.9248e+003,-8.4032e+004,5.2160e+004,2.7456e+003,-3.2858e+004,-6.4015e+004,7.7678e+004
21,2000,8.5794e+003,-8.5693e+004,5.1296e+004,2.7456e+003,-3.0330e+004,-6.5412e+004,7.7552e+004
22,2100,1.0235e+004,-8.7270e+004,5.0381e+004,2.7456e+003,-2.7762e+004,-6.6780e+004,7.7346e+004
23,2200,1.1890e+004,-8.8761e+004,4.9417e+004,2.7456e+003,-2.5157e+004,-6.8117e+004,7.7063e+004
