Channel Number,Channel Name,Type,Units,Scaling Factor (a),Offset (b),Primary Voltage/Current,Secondary Voltage/Current,Phase
1,U L1-N,Voltage,V,0.8217972367822076,617.6020342786687,20000,20000,
2,U L2-N,Voltage,V,0.91983830552045,-3822.063110350715,20000,20000,
3,U L3-N,Voltage,V,0.4586904592336563,-1.393345883116126e-09,1,1,
4,I-Wdl.-N 1 - I_3I0,Current,A,0.012689127023874772,-29.393237754129245,1,1,
5,I-Wdl. 1 - 3xI_I L1,Current,A,0.009329022377271961,-10.685198319139715,1,1,
6,I-Wdl. 1 - 3xI_I L2,Current,A,0.007061822788754879,4.490630090003833e-12,1,1,
7,I-Wdl. 1 - 3xI_I L3,Current,A,0.008905308582369872,30.727183784159706,1,1,
