Channel Number,Channel Name,Type,Units,Scaling Factor (a),Offset (b),Primary Voltage/Current,Secondary Voltage/Current,Phase
1,U L1-N,Voltage,V,0.43514661486752576,0.0,20000,20000,
2,U L2-N,Voltage,V,0.7551145800191778,213.52520470549644,20000,20000,
3,U L3-N,Voltage,V,0.8983437497074185,3910.9938754110044,1,1,
4,I-Wdl.-N 1 - I_3I0,Current,A,0.010335151683738334,-6.069533908929316,1,1,
5,I-Wdl. 1 - 3xI_I L1,Current,A,0.010907785828444845,-68.00848202246453,1,1,
6,I-Wdl. 1 - 3xI_I L2,Current,A,0.00268836090950407,-4.7028978339155145,1,1,
7,I-Wdl. 1 - 3xI_I L3,Current,A,0.0025211603579613,4.2303036652791945,1,1,
