Channel Number,Channel Name,Type,Units,Scaling Factor (a),Offset (b),Primary Voltage/Current,Secondary Voltage/Current,Phase
1,U L1-N,Voltage,V,0.24701411067639445,-197.5411960412821,20000,20000,
2,U L2-N,Voltage,V,0.30540632460370226,3543.3217102399212,20000,20000,
3,U L3-N,Voltage,V,0.14196705516105962,-8.676579454913735e-10,1,1,
4,I-Wdl.-N 1 - I_3I0,Current,A,0.0033740873651840926,-22.39913574266194,1,1,
5,I-Wdl. 1 - 3xI_I L1,Current,A,1.5308731130348294e-05,0.16227057768371367,1,1,
6,I-Wdl. 1 - 3xI_I L2,Current,A,1.675261825374806e-05,0.41036619087054493,1,1,
7,I-Wdl. 1 - 3xI_I L3,Current,A,0.003377863424425952,-22.354929713372087,1,1,
