1,0,-3.6231e+004,-2.7417e+004,9.8452e+004,6.6386e+003,1.6293e+003,-3.8781e+004,6.6335e+003
2,100,-3.4832e+004,-2.8782e+004,9.8955e+004,6.6386e+003,1.9685e+003,-3.8628e+004,6.6312e+003
3,200,-3.3398e+004,-3.0130e+004,9.9360e+004,6.6386e+003,2.2953e+003,-3.8460e+004,6.6289e+003
4,300,-3.1930e+004,-3.1460e+004,9.9667e+004,6.6386e+003,2.6093e+003,-3.8279e+004,6.6266e+003
5,400,-3.0429e+004,-3.2771e+004,9.9876e+004,6.6386e+003,2.9103e+003,-3.8085e+004,6.6242e+003
6,500,-2.8898e+004,-3.4060e+004,9.9986e+004,6.6386e+003,3.1980e+003,-3.7877e+004,6.6219e+003
7,600,-2.7338e+004,-3.5328e+004,9.9998e+004,6.6386e+003,3.4721e+003,-3.7655e+004,6.6196e+003
8,700,-2.5750e+004,-3.6572e+004,9.9911e+004,6.6386e+003,3.7323e+003,-3.7421e+004,6.6172e+003
9,800,-2.4136e+004,-3.7791e+004,9.9725e+004,6.6386e+003,3.9783e+003,-3.7174e+004,6.6149e+003
10,900,-2.2497e+004,-3.8985e+004,9.9441e+004,6.6386e+003,4.2100e+003,-3.6915e+004,6.6125e+003
11,1000,-2.0835e+004,-4.0151e+004,9.9059e+004,6.6386e+003,4.4270e+003,-3.6643e+004,6.6102e+003
12,1100,-1.9151e+004,-4.1289e+004,9.8579e+004,6.6386e+003,4.6292e+003,-3.6359e+004,6.6079e+003
13,1200,-1.7449e+004,-4.2398e+004,9.8002e+004,6.6386e+003,4.8164e+003,-3.6064e+004,6.6056e+003
14,1300,-1.5728e+004,-4.3477e+004,9.7328e+004,6.6386e+003,4.9884e+003,-3.5757e+004,6.6033e+003
15,1400,-1.3990e+004,-4.4524e+004,9.6557e+004,6.6386e+003,5.1450e+003,-3.5439e+004,6.6010e+003
16,1500,-1.2238e+004,-4.5539e+004,9.5692e+004,6.6386e+003,5.2860e+003,-3.5110e+004,6.5987e+003
17,1600,-1.0474e+004,-4.6520e+004,9.4732e+004,6.6386e+003,5.4114e+003,-3.4771e+004,6.5965e+003
18,1700,-8.6978e+003,-4.7467e+004,9.3679e+004,6.6386e+003,5.5209e+003,-3.4421e+004,6.5942e+003
19,1800,-6.9125e+003,-4.8378e+004,9.2533e+004,6.6386e+003,5.6146e+003,-3.4062e+004,6.5920e+003
20,1900,-5.1197e+003,-4.9253e+004,9.1296e+004,6.6386e+003,5.6922e+003,-3.3694e+004,6.5898e+003
21,2000,-3.3210e+003,-5.0091e+004,8.9969e+004,6.6386e+003,5.7538e+003,-3.3316e+004,6.5877e+003
22,2100,-1.5182e+003,-5.0891e+004,8.8553e+004,6.6386e+003,5.7993e+003,-3.2929e+004,6.5856e+003
23,2200,2.8682e+002,-5.1652e+004,8.7050e+004,6.6386e+003,5.8285e+003,-3.2535e+004,6.5835e+003
24,2300,2.0924e+003,-5.2374e+004,8.5461e+004,6.6386e+003,5.8415e+003,-3.2132e+004,6.5814e+003
25,2400,3.8966e+003,-5.3055e+004,8.3787e+004,6.6386e+003,5.8384e+003,-3.1722e+004,6.5794e+003
26,2500,5.6979e+003,-5.3695e+004,8.2031e+004,6.6386e+003,5.8190e+003,-3.1304e+004,6.5774e+003
27,2600,7.4943e+003,-5.4294e+004,8.0194e+004,6.6386e+003,5.7833e+003,-3.0880e+004,6.5755e+003
28,2700,9.2840e+003,-5.4851e+004,7.8277e+004,6.6386e+003,5.7316e+003,-3.0450e+004,6.5736e+003
29,2800,1.1065e+004,-5.5365e+004,7.6284e+004,6.6386e+003,5.6637e+003,-3.0014e+004,6.5717e+003
